name	length	MII_SRR17972798_Rep1_R1	MII_SRR17972799_Rep2_R1	MII_SRR17972800_Rep3_R1	MII_SRR17972801_Rep4_R1	MII_SRR17972802_Rep5_R1	MII_SRR17972803_Rep6_R1	MII_SRR17972804_Rep7_R1	MII_SRR17972805_Rep8_R1	MII_SRR17972806_Rep9_R1	MII_SRR17972807_Rep10_R1	MII_SRR17972808_Rep11_R1	MII_SRR17972809_Rep12_R1	MII_SRR17972810_Rep13_R1	MII_SRR17972811_Rep14_R1	MII_SRR17972812_Rep15_R1	MII_SRR17972813_Rep16_R1	MII_SRR17972826_Rep17_R1	MII_SRR17972827_Rep18_R1	MII_SRR17972828_Rep19_R1	MII_SRR17972856_Rep20_R1	MII_SRR17972857_Rep21_R1	MII_SRR17972858_Rep22_R1	MII_SRR17972859_Rep23_R1
DNAJC1	2109	594	482	682	758	755	677	758	1361	697	806	1132	1517	1190	1228	865	1357	432	431	425	455	525	438	295
DNAJC12	1490	0	0	0	0	0	0	0	14	0	0	0	13	4	1	0	4	6	6	10	1	7	4	0
DNAJC13	7811	1	0	65	9	3	16	4	4	13	28	6	51	0	26	9	6	1192	1305	1139	14	5	4	2
DNAJC14	3802	35	336	675	342	1177	1063	1126	1055	1589	1021	1015	789	1026	1537	566	932	93	133	119	273	365	389	422
DNAJC15	629	0	154	233	165	285	119	233	177	61	153	152	195	339	273	160	191	82	136	144	525	500	884	559
DNAJC16	5761	0	268	118	335	257	91	76	240	178	488	256	275	545	577	88	340	118	188	165	38	101	296	293
DNAJC17	1065	0	201	340	195	202	51	170	41	772	307	322	374	686	417	803	646	1512	1233	1101	450	441	415	346
DNAJC18	7189	1	219	330	249	211	22	167	348	24	315	404	437	655	550	592	521	492	673	532	206	140	301	40
DNAJC19	537	403	297	286	429	363	297	402	461	466	368	452	650	650	420	423	507	404	454	532	650	1227	283	546
DNAJC21	2084	1	221	128	134	249	62	342	17	0	115	250	147	273	371	251	199	453	531	478	80	41	247	81
DNAJC22	1856	0	0	47	0	0	0	0	0	0	0	0	0	2	0	22	1	0	2	1	0	2	0	0
DNAJC2	2463	172	263	385	211	212	140	155	134	128	275	294	426	141	241	225	162	1696	1639	1888	136	48	322	108
DNAJC24	4201	0	6	27	15	10	5	2	1	7	3	5	23	10	14	12	12	45	90	69	9	19	64	0
DNAJC25	1454	0	37	19	0	0	17	0	31	0	44	43	12	19	36	28	30	25	32	41	9	10	0	50
DNAJC27	4733	0	70	91	30	12	0	106	13	0	28	17	64	20	47	68	73	334	403	341	22	72	0	28
DNAJC28	3596	0	17	26	62	23	1	12	46	0	34	69	59	93	59	22	55	150	182	182	21	17	46	20
DNAJC30	1488	808	277	296	615	620	402	445	199	637	497	470	494	337	356	403	431	8	12	14	336	319	188	346
DNAJC3	1646	0	324	310	132	205	129	207	128	1	330	144	435	342	842	364	552	688	706	666	83	94	152	240
DNAJC4	1708	1444	517	992	739	1085	642	1349	497	1274	611	793	539	894	539	782	758	56	93	67	1515	1807	958	1273
DNAJC5	4726	784	267	437	440	333	357	736	159	425	323	486	185	549	443	328	544	23	52	34	894	896	780	440
DNAJC5B	1518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJC5G	2667	0	0	0	22	0	45	0	9	0	0	22	16	23	4	29	10	4	0	0	6	8	0	7
DNAJC6	5516	0	0	66	0	25	7	10	19	0	22	19	15	27	61	7	22	99	152	100	0	8	0	7
DNAJC7	2316	531	374	538	370	235	178	126	117	117	215	189	426	482	931	447	503	4427	3766	3181	92	53	298	123
